course_id,course_name,account_id,term_id,term_name,total_students,active_students,completed_students,inactive_students,students_with_current_score,students_with_final_score,current_score_coverage,final_score_coverage,grade_mean,grade_std,grade_min,grade_max,grade_median,failing_count,passing_count,failure_rate,assignment_count,graded_assignment_count,quiz_count,module_count,file_count,discussion_count,page_count,total_page_views,total_participations,students_with_activity,avg_page_views,avg_participations,total_submissions,graded_submissions,submission_rate,grade_availability_score,grade_variance_score,class_balance_score,design_richness_score,activity_score,prediction_potential_score,analysis_timestamp,fetch_errors
87240,TALL DE COMPETENCIAS DIGITALES-T06,180,336,Segundo Semestre - 2025-Periodo Completo,25,25,0,0,25,25,100.0,100.0,45.1556,28.59189688239193,0.0,78.96,52.2,14,11,0.56,18,18,13,4,100,48,86,13436,266,26,516.7692307692307,10.23076923076923,0,0,0.0,100.0,95.30632294130643,87.99999999999999,100.0,100.0,100.0,2025-12-26T15:03:16.891785,[]
85999,TALL DE COMPETENCIAS DIGITALES-S04,230,336,Segundo Semestre - 2025-Periodo Completo,26,26,0,0,26,26,100.0,100.0,50.78346153846154,31.464217256090475,0.0,96.0,53.834999999999994,14,12,0.5384615384615384,18,18,14,4,100,87,100,13671,280,27,506.3333333333333,10.37037037037037,0,0,0.0,100.0,100.0,92.3076923076923,100.0,100.0,100.0,2025-12-26T15:08:11.243118,[]
87611,TALL DE COMPETENCIAS DIGITALES-T07,180,336,Segundo Semestre - 2025-Periodo Completo,29,29,0,0,29,29,100.0,100.0,65.09896551724138,29.82311595591911,0.0,97.4,74.63,7,22,0.2413793103448276,18,18,13,4,100,48,86,18470,292,29,636.8965517241379,10.068965517241379,0,0,0.0,100.0,99.41038651973037,48.27586206896552,100.0,100.0,98.5,2025-12-26T15:03:28.483055,[]
81759,MATEMÁTICAS PARA LA GESTIÓN II-P03,246,336,Segundo Semestre - 2025-Periodo Completo,26,26,0,0,26,26,100.0,100.0,67.00538461538461,35.5439237260907,0.0,103.0,82.75,7,19,0.2692307692307692,27,13,2,19,100,100,100,20868,208,27,772.8888888888889,7.703703703703703,0,0,0.0,100.0,100.0,53.84615384615385,91.0,100.0,98.4,2025-12-26T15:13:10.195977,[]
85111,TEORÍAS PSICOLÓGICAS IV-S02,231,336,Segundo Semestre - 2025-Periodo Completo,39,39,0,0,39,39,100.0,100.0,71.72692307692307,30.375377074016118,0.0,100.0,85.0,14,25,0.358974358974359,3,3,2,10,26,0,2,6200,0,40,155.0,0.0,0,0,0.0,100.0,100.0,71.7948717948718,51.0,100.0,95.7,2025-12-26T15:09:36.512000,[]
80793,DIBUJO Y MODELADO DIGITAL-S03,230,336,Segundo Semestre - 2025-Periodo Completo,24,24,0,0,22,24,91.66666666666666,100.0,49.69,28.528525407121236,5.01,100.0,39.06,14,8,0.6363636363636364,9,8,2,10,22,1,2,9232,137,24,384.6666666666667,5.708333333333333,0,0,0.0,94.16666666666666,95.09508469040412,72.72727272727273,69.0,100.0,95.6,2025-12-26T15:07:03.401646,[]
86017,ÁLGEBRA Y GEOMETRÍA-S01,230,336,Segundo Semestre - 2025-Periodo Completo,29,29,0,0,29,29,100.0,100.0,67.31620689655172,29.498280145240564,0.0,96.43,77.43,6,23,0.20689655172413793,26,8,0,13,97,84,96,12313,74,30,410.43333333333334,2.466666666666667,0,0,0.0,100.0,98.32760048413522,41.37931034482758,85.0,100.0,94.2,2025-12-26T15:08:30.445551,[]
86006,ÁLGEBRA Y GEOMETRÍA-S04,230,336,Segundo Semestre - 2025-Periodo Completo,18,18,0,0,18,18,100.0,100.0,67.65888888888888,28.369872771053302,0.0,100.0,78.4,4,14,0.2222222222222222,26,8,0,13,98,84,96,9463,54,19,498.05263157894734,2.8421052631578947,0,0,0.0,100.0,94.56624257017768,44.44444444444444,85.0,100.0,93.8,2025-12-26T15:08:12.896498,[]
81939,TALLER DE HABILID. PROF. II-P02,247,336,Segundo Semestre - 2025-Periodo Completo,32,32,0,0,32,32,100.0,100.0,80.6278125,28.326382633950985,6.67,100.0,94.16499999999999,6,26,0.1875,11,8,2,9,27,0,2,31921,197,33,967.3030303030303,5.96969696969697,0,0,0.0,100.0,94.42127544650329,37.5,71.5,100.0,90.0,2025-12-26T15:14:03.098473,[]
86482,AMBIENTE CONSTRUIDO-T02,180,336,Segundo Semestre - 2025-Periodo Completo,30,30,0,0,15,30,50.0,100.0,49.49133333333334,25.495000032686146,0.0,80.0,57.06,7,8,0.4666666666666667,4,4,0,7,95,86,100,18090,43,31,583.5483870967741,1.3870967741935485,0,0,0.0,65.0,84.98333344228716,93.33333333333333,70.0,100.0,87.9,2025-12-26T15:03:15.254063,[]
81568,TRAB. SOCIAL CON COLECTIVOS II-T04,179,336,Segundo Semestre - 2025-Periodo Completo,21,21,0,0,21,21,100.0,100.0,64.8795238095238,20.97293409997525,1.63,89.64,67.63,6,15,0.2857142857142857,15,12,2,10,54,0,2,20893,128,21,994.9047619047619,6.095238095238095,0,0,0.0,100.0,69.90978033325084,57.14285714285714,73.0,100.0,87.8,2025-12-26T15:00:26.132636,[]
71012,CLÍN INTEG DEL NIÑO Y ADOLES I-P01,244,321,Primer Semestre - 2025-Periodo Ajustable,51,51,0,0,51,51,100.0,100.0,348.7156862745098,75.31681451720863,50.0,432.0,368.0,1,50,0.0196078431372549,7,7,2,9,100,1,8,159084,299,51,3059.3076923076924,5.75,0,0,0.0,100.0,100.0,10.0,75.0,100.0,86.1,2025-12-26T15:10:42.311605,[]
86075,FUNDAMENTOS DE MATEMÁTICAS-T04,178,336,Segundo Semestre - 2025-Periodo Completo,35,35,0,0,34,35,97.14285714285714,100.0,68.1885294117647,16.430229370455404,23.06,97.13,74.235,10,24,0.29411764705882354,32,32,0,8,100,100,100,31353,130,36,870.9166666666666,3.611111111111111,0,0,0.0,97.99999999999999,54.76743123485135,58.82352941176471,85.0,100.0,85.4,2025-12-26T14:59:43.170279,[]
75160,PRECLÍNICO BIOMAT DENTALES I-P06,244,321,Primer Semestre - 2025-Periodo Ajustable,36,36,0,0,36,36,100.0,100.0,57.33611111111111,13.699536442163243,0.0,72.09,59.4,16,20,0.4444444444444444,3,3,2,11,49,0,2,115729,5,35,3214.6944444444443,0.1388888888888889,0,0,0.0,100.0,45.66512147387748,88.88888888888889,53.0,98.61111111111111,84.7,2025-12-26T15:10:55.071423,[]
85205,DIRECCIÓN DE ARTE-P01,245,336,Segundo Semestre - 2025-Periodo Completo,20,20,0,0,20,20,100.0,100.0,75.5275,24.101600705740424,0.0,100.0,80.83500000000001,4,16,0.2,4,4,2,10,18,0,2,6076,51,20,303.8,2.55,0,0,0.0,100.0,80.33866901913474,40.0,52.0,100.0,83.5,2025-12-26T15:12:13.077756,[]
85113,TEORÍAS PSICOLÓGICAS IV-S01,231,336,Segundo Semestre - 2025-Periodo Completo,40,40,0,0,38,40,95.0,100.0,65.14078947368421,16.0591246070161,20.0,100.0,70.0,12,26,0.3157894736842105,5,5,2,10,28,0,2,5514,4,40,134.4878048780488,0.0975609756097561,0,0,0.0,96.5,53.530415356720326,63.1578947368421,62.0,100.0,81.7,2025-12-26T15:09:38.235309,[]
80808,DIBUJO Y MODELADO DIGITAL-S01,230,336,Segundo Semestre - 2025-Periodo Completo,28,28,0,0,26,28,92.85714285714286,100.0,43.25076923076923,20.484784582333674,16.61,96.22,37.6,22,4,0.8461538461538461,9,8,2,10,22,1,2,10582,183,29,364.8965517241379,6.310344827586207,0,0,0.0,95.0,68.28261527444558,30.769230769230774,69.0,100.0,79.3,2025-12-26T15:07:18.947001,[]
