course_id,course_name,account_id,term_name,total_students,assignment_count,graded_assignment_count,quiz_count,module_count,file_count,discussion_count,page_count,grade_availability_score,grade_variance_score,class_balance_score,design_richness_score,activity_score,prediction_potential_score,students_with_grades,grade_coverage,grade_mean,grade_std,failure_rate,students_with_activity,activity_coverage,avg_page_views,avg_participations,avg_missing_rate,avg_on_time_rate,avg_late_rate,students_active_last_7_days,students_active_last_30_days,engagement_score,tardiness_score,recency_score,activity_based_score,combined_score,combined_score_weighted
18497,Pregrado Obstetricia y Puericultura,219.0,Período predeterminado,410.0,0.0,0.0,0.0,8.0,100.0,0.0,17.0,0.0,0.0,0.0,40.0,99.51219512195122,0.0,0.0,0.0,0.0,0.0,0.0,406.0,98.78345498783456,990.0948905109487,0.0,0.0,0.0,0.0,10.0,10.0,88.48337388483374,0.0,100.0,20.8,10.4,16.64
70170,,,,,,,,,,,,,,,,,,22.0,95.65217391304348,90.1440909090909,4.175707136112408,0.0,24.0,100.0,1744.3333333333333,1.7083333333333333,0.7752785409035409,0.167218025030525,0.057503434065934,1.0,10.0,87.77777777777777,44.94429181929183,100.0,65.7,32.85,52.56
70999,CLÍN INTEG DEL AD Y AD MAY I-P01,244.0,Primer Semestre - 2025-Periodo Ajustable,52.0,1.0,1.0,2.0,12.0,85.0,0.0,2.0,0.0,0.0,0.0,43.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,98.1132075471698,2215.132075471698,0.320754716981132,0.6981132075471698,0.2830188679245283,0.0188679245283018,0.0,10.0,91.19496855345912,60.377358490566046,100.0,28.7,14.35,22.96
71000,ESTOMATOLOGÍA CLÍNICA II-P01,244.0,Primer Semestre - 2025-Periodo Ajustable,30.0,0.0,0.0,2.0,10.0,58.0,0.0,2.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1294.2333333333331,0.0,0.0,0.0,0.0,0.0,10.0,88.88888888888889,0.0,100.0,20.8,10.4,16.64
71005,CLÍNIC INTEG ADUL Y A.MAYOR II-P01,244.0,Primer Semestre - 2025-Periodo Ajustable,38.0,0.0,0.0,2.0,12.0,62.0,0.0,2.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,100.0,1296.8947368421052,0.0,0.0,0.0,0.0,0.0,10.0,88.88888888888889,0.0,100.0,20.8,10.4,16.64
71011,ESTOMATOLOGÍA CLÍNICA I-P01,244.0,Primer Semestre - 2025-Periodo Ajustable,56.0,0.0,0.0,2.0,10.0,64.0,0.0,2.0,0.0,0.0,0.0,38.0,99.10714285714286,0.0,0.0,0.0,0.0,0.0,0.0,55.0,98.21428571428572,1295.267857142857,0.0,0.0,0.0,0.0,0.0,10.0,88.49567099567099,0.0,100.0,20.8,10.4,16.64
71012,CLÍN INTEG DEL NIÑO Y ADOLES I-P01,244.0,Primer Semestre - 2025-Periodo Ajustable,51.0,7.0,7.0,2.0,9.0,100.0,1.0,8.0,100.0,100.0,10.0,75.0,100.0,86.1,51.0,100.0,348.7156862745098,75.31681451720863,0.0196078431372549,51.0,98.07692307692308,3059.3076923076924,5.75,0.0541549953314659,0.945845004668534,0.0,0.0,10.0,85.18262946204122,68.05166511048864,100.0,81.6,83.85,83.85
71843,PATOLOGÍA ORAL-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,32.0,1.0,1.0,2.0,17.0,100.0,0.0,2.0,30.0,0.0,10.0,43.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,5704.21875,0.28125,0.75,0.25,0.0,2.0,10.0,91.66666666666666,50.0,100.0,27.5,13.75,22.0
71845,PRECLÍNICO BIOMAT DENTALES I-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,32.0,1.0,0.0,2.0,10.0,11.0,0.0,2.0,0.0,0.0,0.0,30.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,100.0,403.93939393939394,0.3939393939393939,0.0,1.0,0.0,1.0,10.0,86.86363636363636,50.0,100.0,26.8,13.4,21.44
71846,PATOLOGÍA E INMUNOLOGÍA GRAL.-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,41.0,1.0,0.0,2.0,18.0,100.0,0.0,2.0,0.0,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,100.0,4465.523809523809,0.3095238095238095,0.8095238095238095,0.1904761904761904,0.0,0.0,10.0,91.66666666666666,38.095238095238095,100.0,26.0,13.0,20.8
71847,CLÍN INTEG DEL AD Y AD MAY I-T09,177.0,Primer Semestre - 2025-Periodo Ajustable,33.0,0.0,0.0,2.0,11.0,56.0,0.0,2.0,0.0,0.0,0.0,38.0,98.48484848484848,0.0,0.0,0.0,0.0,0.0,0.0,32.0,96.96969696969695,1000.7272727272727,0.0606060606060606,0.0,0.0,0.0,1.0,10.0,90.9090909090909,0.0,100.0,21.1,10.55,16.880000000000003
71851,CLÍNIC INTEG ADUL Y A.MAYOR II-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,46.0,1.0,0.0,2.0,14.0,100.0,0.0,18.0,0.0,0.0,0.0,48.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,100.0,2827.7021276595747,0.2978723404255319,0.7872340425531915,0.2127659574468085,0.0,0.0,10.0,91.84397163120568,42.553191489361694,100.0,26.6,13.3,21.28
71852,PREC. DE BIOMATERIALES DENT II-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,28.0,0.0,0.0,2.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,96.55172413793105,290.48275862068965,0.0344827586206896,0.0,0.0,0.0,1.0,10.0,80.3287356321839,0.0,100.0,19.5,9.75,15.600000000000001
71853,CLÍN INTEG DEL AD Y AD MAY I-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,35.0,0.0,0.0,2.0,11.0,62.0,0.0,2.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,100.0,1055.0833333333333,0.0,0.0,0.0,0.0,0.0,10.0,88.88888888888889,0.0,100.0,20.8,10.4,16.64
71854,ESTOMATOLOGÍA CLÍNICA I-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,52.0,0.0,0.0,2.0,10.0,63.0,0.0,2.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,100.0,1125.4150943396226,0.0,0.0,0.0,0.0,1.0,10.0,88.88888888888889,0.0,100.0,20.8,10.4,16.64
71856,ESTOMATOLOGÍA CLÍNICA II-T01,177.0,Primer Semestre - 2025-Periodo Ajustable,32.0,0.0,0.0,2.0,9.0,39.0,0.0,2.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.0,992.8125,0.03125,0.0,0.0,0.0,0.0,10.0,91.92708333333334,0.0,100.0,21.3,10.65,17.040000000000003
